jonas 3 3 2 3 2 1 2 1 3 3 0
Paul 0 0 0 0 0 0 0 0 0 0 0
Li 0 0 0 0 3 0 0 0 2 0 0
Elif23 2 0 0 1 0 0 3 0 0 0 0
Po 0 0 0 0 0 0 0 0 0 0 0
Freyarr 0 0 0 0 0 0 0 0 0 0 0
lipo 0 3 0 1 0 0 0 0 0 0 0
Bosh 0 0 0 0 0 0 0 0 0 0 0
